feature,model,importance
mIoU,Random Forest,0.22243020368488425
Age,Random Forest,0.22512016512149585
License,Random Forest,0.10415357471307464
SCENARIO_NeueMitte,Random Forest,0.01742710042525906
SCENARIO_Spielstrasse,Random Forest,0.03176863427460098
SCENARIO_Ueberland,Random Forest,0.024816684968460033
INTRODUCTION_boasting,Random Forest,0.02682547152875511
Gender_A2,Random Forest,0.03998250083081874
Gender_A3,Random Forest,0.00016445685918878416
Education_A4,Random Forest,0.07717501756683831
Education_A5,Random Forest,0.013115225070741783
Job_A3,Random Forest,0.03628583779812649
Job_A4,Random Forest,0.02058918462306425
Job_A5,Random Forest,0.005364072392197731
Job_A6,Random Forest,0.011093233198654703
DrivingFrequency_A2,Random Forest,0.027585970089529312
DrivingFrequency_A3,Random Forest,0.01581987107787782
DrivingFrequency_A4,Random Forest,0.007898398454244766
DrivingFrequency_A5,Random Forest,0.003560319523629215
DrivingFrequency_A6,Random Forest,0.017921067586765035
Distance_A2,Random Forest,0.017206406093086803
Distance_A3,Random Forest,0.01685018005968801
Distance_A4,Random Forest,0.012140198492746567
Distance_A5,Random Forest,0.02470622556627168
mIoU,XGBoost,0.020116788779351386
Age,XGBoost,0.09214202091498995
License,XGBoost,0.06236934138312668
SCENARIO,XGBoost,0.1039484416109887
INTRODUCTION,XGBoost,0.10911399606898065
Gender,XGBoost,0.06360613400697757
Education,XGBoost,0.27588041948816655
Job,XGBoost,0.08632366895264444
DrivingFrequency,XGBoost,0.0844420770225171
Distance,XGBoost,0.10205711177225699
mIoU,LightGBM,0.4156666666666667
Age,LightGBM,0.21833333333333332
License,LightGBM,0.16311111111111112
SCENARIO,LightGBM,0.015222222222222222
INTRODUCTION,LightGBM,0.05011111111111111
Gender,LightGBM,0.047
Education,LightGBM,0.034444444444444444
Job,LightGBM,0.012666666666666666
DrivingFrequency,LightGBM,0.019666666666666666
Distance,LightGBM,0.023777777777777776
mIoU,CatBoost,0.045767532768820625
Age,CatBoost,0.16239633195255904
License,CatBoost,0.135512361060718
SCENARIO,CatBoost,0.07892405480975934
INTRODUCTION,CatBoost,0.051301329933064445
Gender,CatBoost,0.06918835966085274
Education,CatBoost,0.12986585240762147
Job,CatBoost,0.09339487349977535
DrivingFrequency,CatBoost,0.0915643588273072
Distance,CatBoost,0.14208494507952177
